,Carrosserie,Code_vehicule,Alimentation,Boite_vitesse,Date_debut_comerc,Date_fin_comerc,Groupe_vehicule,Classe_vehicule,Puissance_vehicule
0,BERLINE,OP16345,ES,M,9012002,9012002.0,33,J,7.0
1,AUTRE,RE61166,GO,M,10072006,12092007.0,32,L,7.0
2,4x4-AUTRES,LR03096,ES,A,22092003,22092003.0,37,V,23.0
3,BERLINE,RE80242,ES,M,4092012,29012013.0,31,K,6.0
4,BERLINE,VO14015,ES,M,1993,1993.0,29,I,7.0
5,BERLINE,SE07070,GO,M,1999,1082003.0,32,J,6.0
6,FOURGONNETTE,FO07218,GO,M,1986,1988.0,27,E,6.0
7,4x4-AUTRES,LR07127,GO,M,17062010,1062014.0,32,N,9.0
8,DIVERS,PE22002,GO,M,1969,1976.0,25,F,5.0
9,MONOSPACE,BM73430,GO,M,1062017,1022018.0,32,N,6.0
10,MONOSPACE,VW34017,GO,M,14042003,1012004.0,33,M,8.0
11,BERLINE,OP34184,GO,A,10012013,4092013.0,36,P,11.0
12,MONOSPACE,ME55001,ES,M,10032005,4042008.0,30,L,6.0
13,FOURGONNETTE,RE30097,GO,M,1992,1995.0,28,G,7.0
14,FOURGONNETTE,FO15081,GO,M,1978,1986.0,30,I,9.0
15,FOURGONNETTE,CI07043,ES,M,1986,1987.0,29,G,8.0
16,BERLINE,RE80303,ES,M,5112013,1072015.0,31,J,6.0
17,COUPE,LX10002,ES,V,6112015,,35,R,9.0
18,BERLINE,PE14037,ES,M,1980,9999.0,28,A,10.0
19,MONOSPACE,LA19069,GO,S,1042010,1102010.0,30,K,5.0
20,CAMIONNETTE,MN02078,ES,M,2072012,1112012.0,32,J,7.0
21,FOURGONNETTE,PE02001,ES,M,1986,1986.0,29,F,11.0
22,FOURGONNETTE,RE78096,GO,M,29012013,3062014.0,28,I,5.0
23,FOURGONNETTE,VW01333,GO,M,7102015,,31,L,7.0
24,BREAK,VO20018,ES,M,1991,1992.0,34,N,11.0
25,4x4-SUV,NA13003,GO,M,1991,1993.0,30,N,11.0
26,BERLINE,VW49740,ES,M,27042017,14032018.0,32,K,6.0
27,4x4-SUV,SA01016,ES,M,1992,1993.0,26,G,7.0
28,BERLINE,BM70A17,ES,M,1042018,1102018.0,36,Q,10.0
29,FOURGONNETTE,FO15301,GO,M,2000,2042002.0,33,M,8.0
30,BERLINE,BM25147,ES,M,10032004,1092004.0,37,Q,13.0
31,BERLINE,SK06657,ES,S,1012017,5102017.0,32,K,6.0
32,CABRIOLET,MN01012,ES,M,5072004,26032009.0,31,K,7.0
33,FOURGONNETTE,FO15004,ES,M,1987,1991.0,28,H,9.0
34,MONOSPACE,FO25095,E8,M,3032008,19032013.0,33,N,9.0
35,BREAK,CI07090,ES,M,1987,1989.0,31,J,9.0
36,4x4-SUV,MI05070,ES,A,1998,1998.0,34,Q,20.0
37,BERLINE,VW12243,ES,M,1999,1999.0,29,I,5.0
38,FOURGONNETTE,RE18045,GO,M,1998,1998.0,31,L,8.0
39,FOURGONNETTE,RE78147,GO,M,3062013,3062014.0,31,L,5.0
40,BERLINE,SB04067,GO,M,1999,1999.0,33,N,7.0
41,BREAK,VW11216,ES,M,1994,1996.0,35,N,14.0
42,BERLINE,SZ01064,ES,M,6042009,1092010.0,30,H,5.0
43,4x4-AUTRES,JP03051,ES,A,1092012,1122012.0,42,V,39.0
44,BERLINE,NA05167,ES,M,1032005,1032005.0,27,F,5.0
45,FOURGONNETTE,PE04012,GO,M,1991,1991.0,31,J,8.0
46,4x4-AUTRES,MI05113,ES,M,25082004,7032005.0,29,K,8.0
47,FOURGONNETTE,FO15217,GO,M,1995,1042000.0,30,L,10.0
48,LUDOSPACE,RE55003,ES,M,1998,1998.0,28,G,7.0
49,FOURGONNETTE,RE12055,ES,M,1993,1994.0,28,F,8.0
50,4x4-SUV,EB05017,GO,M,1989,1989.0,29,L,11.0
51,CAMIONNETTE,SE02864,ES,M,2072012,30112012.0,29,E,7.0
52,4x4-SUV,AO01018,GO,M,1998,1998.0,27,H,7.0
53,PICK-UP,FO30008,GO,M,15122005,1062006.0,31,M,10.0
54,BERLINE,RE07513,GO,M,3092001,1092003.0,28,H,4.0
55,BERLINE,RE42112,GO,M,1990,1990.0,27,E,4.0
56,BERLINE,FO21405,GO,M,19052003,6122004.0,31,K,6.0
57,PICK-UP,VW46010,GO,M,1122010,1012013.0,32,N,7.0
58,BERLINE,VO27060,ES,A,1092017,10092018.0,39,T,20.0
59,FOURGONNETTE,SK01044,ES,M,1995,1995.0,27,C,7.0
60,LUDOSPACE,FI39063,GO,M,2012004,2012004.0,28,H,5.0
61,CABRIOLET,VW28043,ES,A,1998,1998.0,31,L,9.0
62,MONOSPACE,ME46034,GO,M,2000,2003.0,32,P,8.0
63,FOURGONNETTE,RE78087,GO,M,21022012,3062014.0,29,K,5.0
64,BERLINE,SE02304,GO,M,1999,1999.0,28,E,4.0
65,BERLINE,DS03057,ES,A,1092016,1062018.0,31,K,5.0
66,BERLINE,OP17336,ES,A,11032002,2022004.0,31,J,7.0
67,4x4-SUV,LR02083,GO,A,15072003,15122003.0,31,Q,11.0
68,MONOSPACE,CI56093,GO,M,1102015,3072017.0,30,J,5.0
69,FOURGONNETTE,RE29049,ES,M,1982,9999.0,28,B,8.0
70,FOURGONNETTE,CI36005,ES,M,1994,2012001.0,31,J,10.0
71,LUDOSPACE,RE77163,ES,S,4042016,,30,K,6.0
72,BERLINE,TO32003,ES,M,16122005,30072007.0,27,G,4.0
73,BERLINE,BM67120,ES,A,1102010,1092011.0,38,Q,
74,BERLINE,RE70016,ES,A,6092004,19122005.0,31,J,
75,MONOSPACE,ME56010,ES,A,17092007,1092008.0,38,S,19.0
76,FOURGONNETTE,PE10050,ES,M,1987,1989.0,28,E,7.0
77,FOURGONNETTE,CI39167,GN,M,2052008,1102010.0,28,I,8.0
78,DIVERS,PE22001,ES,M,1969,1976.0,26,D,6.0
79,4x4-SUV,JP02082,GO,A,2022018,,34,P,10.0
80,FOURGONNETTE,RE43113,GO,M,1997,1998.0,30,K,10.0
81,BERLINE,AR01039,ES,M,1991,1992.0,33,K,8.0
82,BERLINE,SE08126,ES,M,8092000,8092000.0,29,F,6.0
83,BERLINE,ME49067,ES,A,2012003,8012004.0,32,N,9.0
84,BERLINE,PE37342,ES,M,30052011,2012012.0,34,J,9.0
85,MONOSPACE,ME56011,ES,A,17092007,1092008.0,38,S,19.0
86,4x4-AUTRES,TO12178,GO,M,26052010,2012012.0,33,P,10.0
87,BERLINE,FO21568,GO,A,27062007,3032008.0,33,N,8.0
88,FOURGONNETTE,SK05041,ES,M,1999,1999.0,28,G,6.0
89,BERLINE,AR08035,GO,M,15112011,1062012.0,34,N,9.0
90,BERLINE,FO08452,ES,M,23092002,1062008.0,31,G,6.0
91,FOURGONNETTE,FO08429,GO,M,2000,2001.0,30,G,7.0
92,BERLINE,SK07123,ES,M,1112005,1012006.0,29,G,5.0
93,FOURGONNETTE,FO15213,GO,M,1995,13071998.0,30,J,10.0
94,CAMIONNETTE,BE01016,ES,M,1986,1988.0,29,E,11.0
95,BERLINE,CI53003,ES,M,12042008,1102009.0,32,L,8.0
96,CAMIONNETTE,MN02089,ES,M,1112012,3112014.0,30,I,8.0
97,BERLINE,MN01257,GO,M,1112012,1072014.0,30,J,4.0
98,BERLINE,FO07537,ES,M,1999,1999.0,29,F,6.0
99,BERLINE,FO08723,GO,M,5112012,4052015.0,30,I,4.0
100,BERLINE,RE32065,ES,A,1992,1992.0,32,J,11.0
101,FOURGONNETTE,RE18001,GO,M,1983,1994.0,30,L,7.0
102,FOURGONNETTE,RE43051,GO,M,1984,1985.0,30,I,8.0
103,BERLINE,SE02255,ES,M,1997,1998.0,28,F,6.0
104,BERLINE,RE07229,ES,M,1997,1998.0,28,D,4.0
105,BREAK,OP05009,ES,M,1982,9999.0,31,A,14.0
106,CABRIOLET,BM73351,ES,M,1072016,1062017.0,38,Q,15.0
107,FOURGONNETTE,CI39006,GO,M,1997,1998.0,28,H,8.0
108,BERLINE,FI45064,GO,M,27092012,10022015.0,32,L,6.0
109,BERLINE,FO28573,GO,M,15072015,14052018.0,31,K,5.0
110,FOURGONNETTE,RE78119,GO,M,29012013,1012014.0,30,K,5.0
111,4x4-SUV,JP01107,GO,A,1092016,,33,P,13.0
112,FOURGONNETTE,FO15257,GO,M,1998,1042000.0,32,N,8.0
113,BERLINE,RE34035,ES,M,1990,1990.0,32,K,9.0
114,BERLINE,BM27070,GO,A,10032004,1032005.0,37,R,14.0
115,MONOSPACE,RE67098,GO,M,18072005,10072006.0,31,M,6.0
116,FOURGONNETTE,VW10010,GO,M,1991,1995.0,31,M,8.0
117,BERLINE,VO32283,GO,M,11022013,17102013.0,34,P,8.0
118,BERLINE,VW28271,ES,M,1082002,1012003.0,37,P,17.0
119,BERLINE,CI04137,ES,M,1994,1996.0,28,E,4.0
120,FOURGONNETTE,RE18005,GO,M,1981,1989.0,31,K,8.0
121,BERLINE,FI04235,GO,M,19052017,,29,H,5.0
122,FOURGONNETTE,TA10023,ES,A,1980,9999.0,25,A,6.0
123,FOURGONNETTE,MZ05008,GO,M,1999,15102002.0,31,M,10.0
124,BERLINE,BM25231,ES,M,27032007,22092009.0,38,Q,13.0
125,BERLINE,SK08085,GO,M,1092008,7112011.0,33,L,8.0
126,MONOSPACE,VW50043,GO,M,13032014,28042015.0,30,L,5.0
127,FOURGONNETTE,FI09079,ES,M,1995,1995.0,29,F,8.0
128,BERLINE,FI19101,ES,S,15062012,1042015.0,33,L,9.0
129,COUPE,BM68066,ES,A,2072012,1032015.0,41,HC,34.0
130,CAMIONNETTE,BE01018,ES,M,1984,1988.0,30,G,11.0
131,FOURGONNETTE,FO15011,ES,M,1986,1987.0,30,F,11.0
132,BERLINE,SE02087,ES,M,1992,1992.0,30,E,6.0
133,BERLINE,BM66168,ES,A,1032011,1072013.0,39,U,20.0
134,BERLINE,BM25239,ES,M,27032007,1092007.0,37,Q,13.0
135,4x4-SUV,JP03069,GO,A,2052017,19122017.0,36,S,16.0
136,FOURGONNETTE,FI39112,GO,M,1072006,7022011.0,28,I,5.0
137,MONOSPACE,PE42101,GO,S,4112013,29062015.0,31,N,6.0
138,BERLINE,RE34009,GO,M,1991,1991.0,29,L,7.0
139,BERLINE,SE12140,GO,M,15122009,1052010.0,31,L,5.0
140,4x4-SUV,ME42008,ES,M,1995,1996.0,30,P,13.0
141,MONOSPACE,VW34103,ES,M,1032006,1082006.0,32,L,7.0
142,FOURGONNETTE,MZ15178,GO,M,1999,1999.0,29,H,8.0
143,BERLINE,FI40062,ES,M,1092004,2112004.0,34,K,11.0
144,4x4-SUV,LR10022,GO,A,1092015,,32,O,8.0
145,AUTRE,RE82033,GO,M,1062009,1092010.0,34,M,9.0
146,4x4-SUV,NA20038,GO,M,1999,1071999.0,31,L,10.0
147,BERLINE,PE30009,ES,M,1999,1999.0,29,F,
148,DIVERS,PE21001,ES,M,1949,1960.0,23,A,7.0
149,BERLINE,VW49637,GO,M,1012017,17042018.0,34,M,8.0
150,BERLINE,VW45352,GO,S,1072015,1102017.0,30,K,4.0
151,FOURGONNETTE,PE29066,GO,M,2122002,4092006.0,30,I,8.0
152,BREAK,ME39037,ES,A,1994,1994.0,37,T,18.0
153,BERLINE,SB03128,ES,M,28062010,1102011.0,37,P,14.0
154,4x4-SUV,MI05019,GO,M,1990,1990.0,29,M,10.0
155,LIMOUSINE,CI08060,GO,M,1984,1985.0,32,M,7.0
156,LUDOSPACE,PE29092,ES,M,1072003,30052005.0,30,I,7.0
157,COUPE,FO27005,ES,M,2000,12092000.0,32,K,8.0
158,BERLINE,AU19733,ES,S,24042014,19052016.0,34,O,7.0
159,FOURGONNETTE,CI54170,GO,M,1072014,1092016.0,29,K,
160,BREAK,VW11161,GO,M,1991,1992.0,29,L,5.0
161,BERLINE,SE04004,ES,M,1987,1987.0,26,A,4.0
162,4x4-SUV,HD09010,GO,M,1102000,1112001.0,29,L,9.0
163,BERLINE,SE08014,ES,M,1996,1996.0,29,G,7.0
164,BERLINE,SE02317,ES,M,2000,2102000.0,26,E,4.0
165,MONOSPACE,RE64066,GO,M,31032006,11012007.0,33,O,9.0
166,BERLINE,AU37279,ES,V,28052015,4102016.0,35,Q,10.0
167,4x4-SUV,LR04002,ES,M,1984,1987.0,30,I,11.0
168,BERLINE,FI19142,ES,S,17022014,1072014.0,28,J,4.0
169,FOURGONNETTE,ME07002,GO,M,1983,1986.0,30,L,12.0
170,4x4-SUV,JP02025,ES,M,1999,1999.0,31,K,9.0
171,BERLINE,ME49189,ES,M,4042008,15062012.0,32,M,8.0
172,MONOSPACE,TO37050,GO,M,6042011,28112012.0,32,M,7.0
173,LIMOUSINE,ME39031,ES,A,1994,1994.0,36,U,23.0
174,BERLINE,CI59016,ES,M,3102010,1012015.0,30,I,6.0
175,BERLINE,BM70844,GO,A,1062016,1062018.0,39,Q,15.0
176,BERLINE,AU18087,ES,M,1997,1999.0,37,P,13.0
177,FOURGONNETTE,FO15315,GO,M,2000,2042002.0,33,N,8.0
178,BERLINE,CH12005,ES,A,2000,2003.0,31,M,10.0
179,MONOSPACE,RE70198,ES,M,5012009,1092010.0,30,H,6.0
180,BERLINE,DS03051,GO,M,1042016,3042017.0,31,L,6.0
181,4x4-SUV,TO12042,GO,M,1994,1994.0,31,M,12.0
182,BERLINE,NA05222,GO,M,1092005,1092005.0,29,H,4.0
183,BREAK,HO11001,ES,A,1995,1997.0,33,N,11.0
184,MONOSPACE,FI49110,ES,M,4042017,1092017.0,29,I,6.0
185,BERLINE,CI07151,ES,M,1993,1993.0,32,J,9.0
186,BERLINE,CI08029,ES,A,1982,9999.0,32,J,12.0
187,BERLINE,AR22018,GO,M,26102000,26032001.0,32,L,7.0
188,FOURGONNETTE,IU01028,GO,M,1996,1999.0,31,P,8.0
189,FOURGONNETTE,HD05001,GO,M,1994,1994.0,29,F,10.0
190,MONOSPACE,BM73282,ES,A,1032016,1032017.0,33,O,7.0
191,FOURGONNETTE,ME37062,GO,M,2000,2004.0,33,M,7.0
192,BERLINE,ME38883,GO,M,16042010,8042014.0,34,N,6.0
193,COUPE,BM19072,ES,A,1999,1042000.0,36,P,12.0
194,BERLINE,RE32069,ES,A,1992,1992.0,30,I,9.0
195,BERLINE,MA01002,ES,M,1994,1994.0,24,A,4.0
196,4x4-SUV,LR02031,GO,M,1994,1011994.0,30,Q,10.0
197,AUTRE,BM66571,GO,A,1072013,1022017.0,38,S,15.0
198,BERLINE,VW35168,GO,M,6012006,6012006.0,30,J,5.0
199,FOURGONNETTE,VW01289,GO,S,1072015,7102015.0,32,N,7.0
200,BERLINE,DC01043,ES,M,2102008,1042009.0,28,C,5.0
201,4x4-SUV,SZ02052,GO,M,1092003,1072004.0,29,J,6.0
202,BREAK,BM25075,GO,M,1994,1994.0,32,O,8.0
203,BERLINE,VW48145,ES,M,14032018,,27,F,3.0
204,BERLINE,RE51165,GO,M,1999,1999.0,31,K,6.0
205,BREAK,CI28027,GO,M,1992,1994.0,30,M,7.0
206,CABRIOLET,ME10034,ES,M,1991,1992.0,30,Q,13.0
207,MONOSPACE,RE81480,ES,M,1072015,2112016.0,32,M,7.0
208,BERLINE,BM66861,GO,A,1022018,,39,T,16.0
209,FOURGONNETTE,CI36027,GO,M,1994,2012001.0,31,N,8.0
210,MONOSPACE,RE58081,ES,M,3092001,15112001.0,32,L,9.0
211,FOURGONNETTE,FO15320,GO,M,2000,2042002.0,33,N,8.0
212,BERLINE,DS02059,GO,M,1072016,1062018.0,31,M,6.0
213,CABRIOLET,AU31187,ES,V,5082011,25042013.0,36,R,12.0
214,BERLINE,FI45016,ES,M,1102008,1072010.0,33,K,9.0
215,BERLINE,LX01051,ES,A,13062014,6112015.0,36,R,13.0
216,BERLINE,FO28249,ES,A,15122005,1122007.0,33,L,9.0
217,BERLINE,MN01701,ES,M,1022018,,31,L,5.0
218,BERLINE,SE17260,GO,M,5012018,,31,J,6.0
219,BERLINE,ME15065,GO,A,1988,1992.0,34,R,11.0
220,BERLINE,AU28557,GO,S,27042017,5092018.0,34,N,8.0
221,LUDOSPACE,CI71018,GO,M,10092018,,32,L,7.0
222,BERLINE,RE07457,ES,M,27112000,15022001.0,31,F,6.0
223,BERLINE,AU36005,ES,M,15092008,1042011.0,36,Q,12.0
224,FOURGONNETTE,PE27029,GO,M,2000,21032000.0,30,K,8.0
225,BERLINE,VO33106,ES,A,26042004,10042009.0,33,N,10.0
226,BERLINE,LA03103,GO,M,1042011,1092014.0,35,N,11.0
227,FOURGONNETTE,FO15167,GO,M,1992,1992.0,32,L,10.0
228,BREAK,ME39075,ES,M,1995,1995.0,37,T,18.0
229,AUTRE,SK10042,GO,M,7112011,1052015.0,32,M,8.0
230,BERLINE,KA16185,ES,M,1092015,2072018.0,31,K,6.0
231,4x4-SUV,JP01060,GO,A,23032011,2012012.0,32,P,13.0
232,BERLINE,RE96009,GO,M,1122015,,31,L,5.0
233,BERLINE,SE08184,ES,M,1032005,7112005.0,30,E,5.0
234,BERLINE,AU19021,ES,A,1999,1092001.0,34,M,10.0
235,CABRIOLET,MZ04048,ES,M,2012017,1062018.0,32,M,7.0
236,BERLINE,ME66031,ES,A,8042014,14042015.0,38,Q,11.0
237,BREAK,VO22033,ES,M,1995,1996.0,33,M,9.0
238,BERLINE,BM25304,ES,A,1092007,1012010.0,36,S,14.0
239,PICK-UP,IS03004,GO,M,1032004,1102006.0,31,M,10.0
240,BERLINE,OP06361,ES,M,1102000,5052003.0,29,F,5.0
241,BERLINE,MZ30038,GO,M,1032008,1012009.0,28,H,4.0
242,BERLINE,AU39190,ES,M,24112014,,32,K,6.0
243,FOURGONNETTE,CI36074,GO,M,2000,1062000.0,33,P,8.0
244,4x4-SUV,NA06018,GO,M,1994,1995.0,31,O,11.0
245,MONOSPACE,LA19018,GO,S,1102005,1072008.0,30,K,5.0
246,4x4-SUV,JP01068,ES,A,2012012,,34,P,20.0
247,BERLINE,VO22085,ES,A,1995,1996.0,33,O,12.0
248,BERLINE,BM17184,ES,M,8022003,1092003.0,34,N,9.0
249,4x4-SUV,LR02147,ES,A,5012017,1062017.0,37,T,24.0
250,4x4-SUV,NA35003,GO,M,1032005,1072006.0,33,Q,12.0
251,BERLINE,AR20015,ES,M,1997,1998.0,34,J,9.0
252,FOURGONNETTE,RE78149,GO,M,3062013,3062014.0,31,L,5.0
253,FOURGONNETTE,PE41001,ES,M,15052008,2032009.0,29,H,9.0
254,BERLINE,PE39504,GO,A,15052017,,34,N,7.0
255,BERLINE,RO16015,ES,A,1989,1989.0,35,O,18.0
256,MONOSPACE,SG05012,GO,A,28092006,1092012.0,33,N,11.0
257,BREAK,SR01004,ES,A,1993,1993.0,33,M,12.0
258,BREAK,RE29070,GO,M,1984,1984.0,30,J,6.0
259,BERLINE,FI19084,ES,M,1012011,15062012.0,33,K,9.0
260,FOURGONNETTE,RE78162,ES,M,3062014,1062016.0,30,I,7.0
261,MONOSPACE,VW50133,ES,S,1012018,,34,N,8.0
262,BERLINE,OP13198,GO,M,1997,1998.0,34,M,7.0
263,PICK-UP,FI52010,GO,M,14062016,,34,N,8.0
264,BERLINE,TA03004,ES,M,1982,1985.0,26,C,4.0
265,BERLINE,CI58091,ES,M,2062014,1102014.0,33,K,8.0
266,MONOSPACE,RE67207,GO,M,11012007,2102008.0,32,M,8.0
267,MONOSPACE,VW34298,GO,S,1012014,2022015.0,33,M,8.0
268,BERLINE,RO16005,ES,M,1990,1990.0,35,P,14.0
269,MONOSPACE,FO34038,ES,M,17072006,1042008.0,30,J,6.0
270,FOURGONNETTE,TO11014,GO,M,1998,2001.0,29,M,10.0
271,FOURGONNETTE,CI10011,ES,M,1989,1989.0,27,D,6.0
272,FOURGONNETTE,FI04005,ES,M,1983,9999.0,25,A,5.0
273,MONOSPACE,RE81414,GO,M,4022014,3062014.0,31,L,6.0
274,MONOSPACE,RE81491,GO,M,1072015,2112016.0,32,M,7.0
275,BREAK,FO07413,GO,M,1995,1997.0,28,H,5.0
276,MONOSPACE,ME56035,GO,A,3012013,2092013.0,36,R,12.0
277,BERLINE,ME40031,GO,A,1999,1999.0,36,S,13.0
278,FOURGONNETTE,PE26128,GO,M,2000,11092000.0,31,L,8.0
279,FOURGONNETTE,FI26075,GO,M,1997,1997.0,28,E,7.0
280,BERLINE,LA15026,GO,M,15062003,1092004.0,34,N,9.0
281,CAMIONNETTE,BE01017,ES,M,1986,1988.0,29,G,11.0
282,FOURGONNETTE,RE78241,GO,M,1062016,,29,J,5.0
283,BERLINE,SE12234,ES,M,4102013,23042014.0,32,K,6.0
284,BERLINE,MZ17120,GO,M,1999,1999.0,31,J,6.0
285,BERLINE,PE35018,ES,S,1042005,1042005.0,31,I,6.0
286,MONOSPACE,PE42053,ES,M,4072011,2012013.0,33,M,9.0
287,BERLINE,RE96017,ES,S,1122015,,35,M,11.0
288,FOURGONNETTE,FI13017,ES,M,1981,9999.0,26,A,5.0
289,BERLINE,CI48182,ES,S,3042018,,27,F,4.0
290,COUPE,RE80302,GO,S,5112013,1072015.0,31,M,6.0
291,BERLINE,SE12475,GO,M,1102016,,32,K,6.0
292,BERLINE,AU33384,GO,M,8122011,24042014.0,35,P,9.0
293,BERLINE,CI53103,GO,S,1062015,3072017.0,35,N,9.0
294,BERLINE,VW28093,GO,M,2000,2052001.0,32,K,7.0
295,MONOSPACE,CI50171,GO,S,1062012,1102013.0,31,M,6.0
296,FOURGONNETTE,RE56092,GO,M,4092006,2102008.0,28,I,6.0
297,FOURGONNETTE,FO15186,GO,M,1992,1992.0,32,M,10.0
298,BERLINE,PE31025,GO,M,25092004,25092004.0,33,O,8.0
299,BREAK,BM25044,GO,M,1994,1996.0,32,O,8.0
300,FOURGONNETTE,VW01391,GO,M,19122016,,31,M,7.0
301,MONOSPACE,VW34370,ES,M,1102015,17042018.0,32,M,6.0
302,BERLINE,RE88150,GO,S,5092017,3072018.0,30,K,4.0
303,MONOSPACE,SE14122,ES,M,23042014,5112015.0,31,J,6.0
304,FOURGONNETTE,CI36043,ES,M,1996,1062000.0,32,L,10.0
305,FOURGONNETTE,FI28046,GO,M,1998,1042000.0,33,N,9.0
306,BERLINE,CI58057,GO,S,1102013,2062014.0,30,K,5.0
307,BERLINE,BM42010,ES,A,1999,17072000.0,40,HC,21.0
308,MONOSPACE,FO34097,ES,M,23082010,1102012.0,32,K,7.0
309,BERLINE,BM70741,GO,A,1072015,1112016.0,35,P,10.0
310,CABRIOLET,BM71087,ES,A,1112013,1032015.0,38,S,15.0
311,FOURGONNETTE,RE78228,GO,M,1062016,,29,J,5.0
312,FOURGONNETTE,FI03067,GO,M,21112011,1102017.0,28,I,5.0
313,4x4-SUV,LR03047,GO,A,1994,1995.0,30,Q,10.0
314,BERLINE,PE31078,GO,M,5032007,2032009.0,35,P,10.0
315,BERLINE,RE70051,ES,A,18072005,31032006.0,31,I,7.0
316,FOURGONNETTE,FO08332,ES,M,1997,17062003.0,27,D,7.0
317,4x4-SUV,LR10021,GO,M,1092015,,32,Q,8.0
318,FOURGONNETTE,PE40002,GO,M,2012008,31102011.0,28,H,6.0
319,FOURGONNETTE,RE59014,GO,M,2000,2000.0,33,O,9.0
320,BREAK,OP09167,ES,M,1987,1989.0,29,G,6.0
321,BERLINE,BM70A07,ES,M,1042018,1102018.0,34,O,7.0
322,FOURGONNETTE,RE56047,GO,M,2092002,18072005.0,28,J,6.0
323,BERLINE,RE88102,GO,M,1072015,3072018.0,30,K,4.0
324,BERLINE,VW49171,ES,M,24042014,28042015.0,32,K,6.0
325,BERLINE,AU18747,GO,M,1062005,1062005.0,35,Q,10.0
326,BERLINE,AU39264,GO,S,1042016,29092016.0,30,L,4.0
327,4x4-SUV,NA06016,GO,M,1993,1993.0,31,O,11.0
328,BERLINE,VW28263,GO,M,1082002,1012003.0,31,L,7.0
329,FOURGONNETTE,RE78225,GO,M,1062016,,28,H,5.0
330,BERLINE,CV17041,GO,M,1092012,31122014.0,33,K,7.0
331,FOURGONNETTE,RE36019,ES,M,1983,9999.0,25,A,6.0
332,BERLINE,AU39067,ES,S,8122011,24112014.0,35,M,10.0
333,4x4-SUV,ME42047,ES,A,2012003,18012005.0,35,V,24.0
334,CAMIONNETTE,RE75097,GO,A,28092010,4012011.0,35,O,7.0
335,4x4-SUV,ME42056,GO,A,1092006,3062009.0,33,U,16.0
336,BREAK,VW22144,ES,M,1996,1997.0,29,H,7.0
337,AUTRE,SK08130,GO,M,18012010,7112011.0,35,N,10.0
338,FOURGONNETTE,MI09003,GO,M,1994,1995.0,29,M,10.0
339,BERLINE,OP34096,E8,M,9092010,1122011.0,37,N,14.0
340,MONOSPACE,PE42136,GO,A,2022015,2112015.0,31,M,6.0
341,BREAK,PE15052,ES,M,1982,1983.0,30,I,10.0
342,BERLINE,OP14003,ES,M,1966,1971.0,29,H,11.0
343,BERLINE,FI47053,GN,M,15092010,21112011.0,28,G,4.0
344,BREAK,FO13076,ES,M,1983,1984.0,31,G,8.0
345,BERLINE,SK11036,ES,M,5112012,5102015.0,28,D,4.0
346,4x4-SUV,SZ02024,ES,A,1996,1996.0,27,J,9.0
347,CAMIONNETTE,MN02086,GO,A,1112012,3112014.0,31,L,8.0
348,BERLINE,RO03018,GO,M,1994,1994.0,26,D,5.0
349,4x4-SUV,LR02078,GO,M,15072003,15122003.0,31,P,10.0
350,BREAK,FO09100,ES,M,1982,1984.0,32,A,15.0
351,FOURGONNETTE,RE12096,GO,M,1997,1998.0,27,F,7.0
352,BERLINE,SB04151,ES,M,1092001,1022002.0,37,O,13.0
353,BERLINE,RE92060,ES,S,6032018,,28,G,5.0
354,4x4-SUV,LR02007,ES,M,1991,1991.0,33,M,20.0
355,BREAK,FO07354,GO,M,1994,1994.0,30,I,6.0
356,COUPE,PE28308,GO,M,2052003,1042004.0,33,P,8.0
357,FOURGONNETTE,RE78202,GO,M,1122014,1062016.0,28,I,5.0
358,FOURGONNETTE,RE78221,GO,M,1042015,1062016.0,29,G,5.0
359,BERLINE,BM26004,ES,A,1988,1988.0,35,O,14.0
360,4x4-SUV,LR08067,ES,A,2102017,,45,Y,50.0
361,BERLINE,RE07290,ES,M,1998,1998.0,28,D,4.0
362,FOURGONNETTE,VW01340,GO,M,7102015,,31,K,7.0
363,FOURGONNETTE,CI71034,GO,M,10092018,,32,K,5.0
364,FOURGONNETTE,RE12067,ES,M,1995,1995.0,26,E,7.0
365,BERLINE,FO28372,GO,M,1122007,2112009.0,33,L,8.0
366,CABRIOLET,AU49146,GO,M,1012017,27042017.0,36,O,10.0
367,MONOSPACE,FO35100,GO,A,2072018,,34,O,8.0
368,4x4-SUV,LR01012,GO,M,1997,1998.0,29,L,8.0
369,PICK-UP,VW46002,GO,M,1122010,10052011.0,34,O,7.0
370,FOURGONNETTE,ME10031,ES,M,1991,1991.0,30,P,13.0
371,4x4-SUV,TO12172,GO,A,14012010,2012012.0,33,S,11.0
372,FOURGONNETTE,ME25002,GO,M,1989,1993.0,33,O,10.0
373,4x4-SUV,LR07031,ES,A,1022001,1102001.0,33,O,13.0
374,FOURGONNETTE,CI03012,ES,M,1973,1976.0,27,C,6.0
375,MONOSPACE,VW34206,GO,S,3112008,25042009.0,33,L,8.0
376,BREAK,AU15044,GO,M,1995,1996.0,34,P,10.0
377,BERLINE,AU28109,ES,S,8122006,24042008.0,38,R,17.0
378,COUPE,BM67032,GO,M,30032010,1072013.0,38,R,15.0
379,FOURGONNETTE,RE56073,ES,M,15112004,2062008.0,28,G,7.0
380,MONOSPACE,CI70033,GO,M,3042018,2072018.0,34,M,7.0
381,FOURGONNETTE,RE18029,GO,M,1998,1998.0,31,N,8.0
382,COUPE,ME47022,ES,A,4042012,3012013.0,41,HC,33.0
