,Carrosserie,Code_vehicule,Alimentation,Boite_vitesse,Date_debut_comerc,Date_fin_comerc,Groupe_vehicule,Classe_vehicule,Puissance_vehicule
48053,BERLINE,AU15129,ES,M,1998,1998.0,35,Q,13.0
48054,BERLINE,TO27134,GO,M,15012009,1102015.0,34,M,8.0
48055,BERLINE,PE30249,ES,M,1042003,1122003.0,32,I,6.0
48056,BERLINE,SE16013,ES,M,1042012,28042017.0,27,E,3.0
48057,BERLINE,PE18220,ES,M,1999,1042000.0,27,D,4.0
48058,BERLINE,BM66815,ES,A,1032017,,37,R,8.0
48059,BERLINE,VW45015,GO,M,22062009,6032014.0,30,I,5.0
48060,BERLINE,RE19002,ES,M,1959,1962.0,23,A,5.0
48061,BERLINE,RE60202,ES,M,11012007,12092007.0,33,L,8.0
48062,BERLINE,OP02070,GO,A,1985,1986.0,28,G,6.0
48063,BERLINE,ME38714,ES,A,1032007,6012009.0,39,R,18.0
48064,MONOSPACE,OP24069,ES,M,15092005,6122005.0,34,N,13.0
48065,MONOSPACE,CI70083,GO,M,1062018,,32,M,6.0
48066,BERLINE,HD24114,ES,M,26062018,,29,H,5.0
48067,BERLINE,AR25166,GO,M,1092006,25102007.0,33,M,9.0
48068,BERLINE,FO08684,ES,A,4072011,19032013.0,29,I,6.0
48069,BERLINE,AR07043,GO,M,7092018,,34,N,7.0
48070,BERLINE,VO14043,GO,M,1995,1996.0,30,L,5.0
48071,BERLINE,PE34152,GO,A,2012006,2012006.0,33,M,9.0
48072,BERLINE,RE70058,GO,M,18072005,19122005.0,31,K,6.0
48073,BERLINE,SE02471,GO,M,7112005,1052008.0,29,G,4.0
48074,BERLINE,ME63262,ES,A,24052013,31072014.0,40,U,23.0
48075,MONOSPACE,CI70062,GO,A,3042018,3092018.0,32,N,6.0
48076,BERLINE,VW49633,ES,S,1012017,17042018.0,32,N,6.0
48077,BERLINE,CI42139,GO,M,13092004,29082005.0,33,N,8.0
48078,BERLINE,BM12003,ES,M,1971,1972.0,30,L,11.0
48079,BERLINE,VW28031,GO,A,1998,1998.0,32,K,5.0
48080,BERLINE,FO21706,GO,S,15032010,2042013.0,35,N,9.0
48081,COUPE,BM73045,ES,M,1072014,1072016.0,38,P,15.0
48082,BERLINE,PE39129,GO,M,2032009,30112009.0,33,L,7.0
48083,BERLINE,VW44103,GO,M,1122009,4102012.0,31,K,5.0
48084,BERLINE,SK07190,GO,M,1012009,15042010.0,31,I,6.0
48085,BERLINE,SE02274,GO,M,1998,1998.0,30,G,5.0
48086,BERLINE,MN01277,GO,M,4032013,1072014.0,31,K,5.0
48087,BERLINE,VW11450,GO,M,2102000,1012003.0,32,K,6.0
48088,BERLINE,ME66427,ES,A,15042016,1062018.0,39,S,22.0
48089,BERLINE,RE42052,ES,M,1987,1987.0,28,F,7.0
48090,BERLINE,FO21714,GO,S,15032010,2042013.0,34,N,9.0
48091,BERLINE,PE09010,ES,M,1981,1983.0,28,G,7.0
48092,BERLINE,DH08004,ES,A,1998,1999.0,25,F,5.0
48093,BERLINE,BM69400,GO,A,1032015,,36,N,10.0
48094,COUPE,HO07018,ES,M,1991,1991.0,34,M,10.0
48095,BERLINE,RE66508,ES,M,19122005,10072006.0,31,I,6.0
48096,BERLINE,BM23007,ES,A,1972,1977.0,32,K,11.0
48097,BERLINE,AU37303,ES,S,17092015,4102016.0,37,R,14.0
48098,BERLINE,AU15786,ES,M,15052007,15092008.0,37,Q,13.0
48099,MONOSPACE,PE43046,GO,M,4102010,5092011.0,32,L,6.0
48100,BERLINE,VW11725,GO,M,1052009,6082009.0,32,M,6.0
48101,BERLINE,VW12356,GO,M,18082003,1012004.0,28,H,4.0
48102,BERLINE,RE88161,GO,M,2052018,3072018.0,30,I,5.0
48103,BERLINE,RE32004,GO,M,1989,1991.0,28,H,6.0
48104,BERLINE,OP13132,ES,M,1992,1994.0,33,L,10.0
48105,BERLINE,PE47133,ES,A,1062015,,31,J,5.0
48106,BERLINE,PE18145,ES,M,1997,1998.0,28,F,5.0
48107,BERLINE,OP02029,ES,M,1979,9999.0,28,A,7.0
48108,BERLINE,RE42075,ES,M,1987,1989.0,27,E,5.0
48109,BERLINE,BM01035,ES,M,1032016,,42,V,34.0
48110,BERLINE,MZ31044,GO,M,1082012,2052014.0,31,L,6.0
48111,BERLINE,FI26180,GO,M,1122001,1122001.0,29,G,5.0
48112,BERLINE,ME74022,ES,S,22062018,,34,O,7.0
48113,BERLINE,CI43040,GO,M,2092002,2052003.0,28,G,4.0
48114,BERLINE,OP13030,GO,M,1989,1992.0,31,N,7.0
48115,BERLINE,RE50020,ES,M,1997,1998.0,27,D,4.0
48116,BERLINE,VW54039,GO,M,23112017,,29,J,4.0
48117,LUDOSPACE,VW01326,GO,S,1072015,,33,N,8.0
48118,CABRIOLET,ST09053,ES,A,17072017,,27,I,4.0
48119,BERLINE,SE12288,ES,A,11022014,7102015.0,39,O,17.0
48120,BERLINE,PE24045,ES,M,1995,1996.0,29,H,6.0
48121,BREAK,FO13231,GO,M,1992,1992.0,29,J,5.0
48122,BERLINE,FI02033,ES,M,1993,1996.0,34,N,8.0
48123,BERLINE,AU15677,GO,A,1062005,15092008.0,36,R,12.0
48124,BERLINE,CI49012,GO,A,4072008,1102010.0,34,Q,11.0
48125,BERLINE,BM18154,GO,A,2092002,2092002.0,35,N,9.0
48126,BERLINE,RE42059,ES,M,1987,1990.0,27,E,4.0
48127,BERLINE,RE66418,ES,M,18072005,18072005.0,31,I,
48128,BERLINE,AB02002,ES,M,1983,1984.0,24,B,4.0
48129,BERLINE,SE07126,GO,M,1072013,23042014.0,30,J,5.0
48130,BERLINE,PE18238,ES,M,2000,2122002.0,28,D,4.0
48131,BERLINE,VW35054,ES,A,1012004,23052004.0,30,K,7.0
48132,BERLINE,AU06051,ES,M,1983,1983.0,29,J,6.0
48133,BERLINE,SK06528,GO,M,1012015,1012017.0,34,N,8.0
48134,BERLINE,VW52009,GO,S,15062017,,35,Q,8.0
48135,MONOSPACE,CH10020,ES,A,7032001,1102001.0,33,Q,13.0
48136,COUPE,BM71373,ES,A,1032016,1032017.0,40,S,21.0
48137,CABRIOLET,ME66365,GO,A,27062016,29062018.0,35,R,9.0
48138,BERLINE,SE07076,GO,M,2000,1032002.0,31,K,5.0
48139,BERLINE,PE28170,ES,M,1999,1999.0,32,K,7.0
48140,BERLINE,MI11020,ES,A,1999,1999.0,33,K,8.0
48141,BERLINE,ME66036,ES,A,8042014,6102016.0,38,R,12.0
48142,BERLINE,AU19239,GO,S,1062006,24042008.0,35,N,10.0
48143,CABRIOLET,NA05286,ES,A,15012007,1042009.0,30,J,7.0
48144,BERLINE,BM70417,GO,A,1032014,1062016.0,39,R,15.0
48145,BERLINE,FI10043,ES,M,1986,1986.0,27,C,5.0
48146,MONOSPACE,ME55011,GO,V,10032005,4042008.0,30,N,7.0
48147,BERLINE,VW05001,ES,M,1984,1984.0,27,E,6.0
48148,BERLINE,BM18162,GO,A,8022003,1092004.0,34,N,9.0
48149,BERLINE,ME39610,GO,M,3062009,15012013.0,36,R,9.0
48150,MONOSPACE,RE97091,ES,M,3042018,,33,N,9.0
48151,BERLINE,VW49355,GO,S,28042015,17012017.0,32,M,5.0
48152,BERLINE,HD24053,ES,M,2102014,1092016.0,30,I,5.0
48153,BERLINE,AU19788,GO,M,24042014,19052016.0,32,N,5.0
48154,MONOSPACE,SE14108,GO,M,10012012,5112015.0,30,J,5.0
48155,LUDOSPACE,FO33042,GO,M,1012014,15102015.0,30,K,6.0
48156,BERLINE,AR01012,ES,M,1987,1988.0,29,G,6.0
48157,BERLINE,VO32031,ES,M,15012001,1072002.0,33,Q,9.0
48158,BERLINE,AU39255,GO,M,28052015,28042016.0,32,L,5.0
48159,LUDOSPACE,RE55021,ES,M,1999,1999.0,27,F,5.0
48160,BERLINE,RE42003,ES,M,1985,1987.0,25,B,4.0
48161,BERLINE,SE12474,GO,M,1102016,,32,J,6.0
48162,BERLINE,ST05034,ES,S,8072016,6092018.0,30,I,5.0
48163,BERLINE,RE71277,ES,M,6072009,5012010.0,35,L,12.0
48164,BERLINE,PE36020,ES,S,31052010,4102010.0,27,G,4.0
48165,BERLINE,SE12243,ES,M,4102013,23042014.0,33,K,7.0
48166,BERLINE,FI45019,GO,M,1102008,1062011.0,30,K,5.0
48167,MONOSPACE,ME46169,GO,A,1042015,,32,R,8.0
48168,BERLINE,ME39100,ES,M,1996,1998.0,34,P,9.0
48169,BERLINE,MN01099,ES,M,23032010,1072014.0,30,I,5.0
48170,BERLINE,FO12086,ES,M,1992,1992.0,32,K,10.0
48171,MONOSPACE,KA18010,GO,M,16012010,1052011.0,29,I,5.0
48172,BERLINE,VO32075,GO,A,6022003,2012004.0,32,P,9.0
48173,BERLINE,AU49242,ES,S,31072018,,37,O,10.0
48174,BERLINE,SU05002,ES,M,1972,1974.0,27,C,7.0
48175,MONOSPACE,VW25129,GO,A,1122004,1122004.0,32,N,8.0
48176,MONOSPACE,OP30046,ES,M,23092010,9072012.0,31,J,7.0
48177,BERLINE,SZ01002,ES,M,1011993,31121995.0,28,D,5.0
48178,BERLINE,RE30095,GO,M,1992,1994.0,31,J,5.0
48179,BERLINE,FO12141,GO,M,1995,1997.0,33,N,7.0
48180,BERLINE,RE51084,ES,A,1998,1998.0,32,M,
48181,MONOSPACE,RE64098,GO,M,11012007,5012009.0,33,P,9.0
48182,BERLINE,VW12631,GO,M,24092007,1052009.0,31,J,5.0
48183,BERLINE,VW11342,ES,M,1999,1999.0,35,L,10.0
48184,BERLINE,PE15087,ES,M,1986,1988.0,30,J,9.0
48185,BERLINE,MN01550,ES,A,1072017,1022018.0,36,N,12.0
48186,BERLINE,NA05210,ES,M,1092005,5112007.0,29,F,5.0
48187,CABRIOLET,AU31073,ES,V,29012009,5082011.0,36,R,13.0
48188,MONOSPACE,CI56088,GO,M,4052015,1102015.0,30,I,5.0
48189,AUTRE,PE37337,ES,M,28022011,1072013.0,29,G,5.0
48190,MONOSPACE,RE81326,GO,M,24012012,4092013.0,33,O,7.0
48191,BREAK,CI28050,GO,M,1993,1994.0,32,N,6.0
48192,BERLINE,PE18113,ES,M,1996,1996.0,28,G,5.0
48193,BERLINE,NA05014,ES,M,1993,1993.0,27,E,4.0
48194,BERLINE,FI45026,GO,M,1102008,1062011.0,32,K,6.0
48195,BERLINE,RE07678,ES,A,1042004,1042005.0,30,H,6.0
48196,BERLINE,VW11478,ES,M,1072002,1122004.0,31,K,7.0
48197,BERLINE,VW05036,GO,M,1989,1989.0,28,I,4.0
48198,BERLINE,OP06501,GO,S,18082004,31012005.0,28,H,4.0
48199,MONOSPACE,ME46073,GO,M,2102014,,34,P,9.0
48200,BERLINE,SE17217,ES,M,5022016,27032017.0,29,G,4.0
48201,BERLINE,PE24302,ES,M,1999,1999.0,32,K,7.0
48202,BERLINE,OP02069,GO,A,1983,1984.0,28,H,6.0
48203,BERLINE,BM70A18,ES,A,1042018,1102018.0,36,Q,10.0
48204,BERLINE,FI07004,ES,M,1979,1981.0,27,D,6.0
48205,BERLINE,AU36148,ES,M,7122009,6122010.0,36,Q,12.0
48206,BERLINE,BM59341,ES,M,1092007,16092008.0,37,Q,13.0
48207,BERLINE,FI08010,GO,M,1991,1995.0,29,I,7.0
48208,BERLINE,FO07373,ES,M,1994,1994.0,36,Q,9.0
48209,BERLINE,DA05001,ES,M,1980,1980.0,32,I,12.0
48210,BERLINE,TO39004,ES,M,15092011,1102015.0,29,H,5.0
48211,LUDOSPACE,VW01314,GO,M,1072015,1012018.0,31,K,5.0
48212,BERLINE,MZ15127,ES,A,1993,1993.0,29,H,7.0
48213,AUTRE,RE68034,GO,M,1102003,1102003.0,32,M,7.0
48214,COUPE,AU21010,ES,M,31082004,16052005.0,34,N,9.0
48215,BERLINE,AU15649,ES,M,1062005,1062005.0,35,P,11.0
48216,BERLINE,BM28011,ES,M,27112001,8022003.0,38,T,17.0
48217,BERLINE,CI42167,GO,M,26122005,2052008.0,33,M,8.0
48218,CABRIOLET,CI45007,ES,M,22022006,1072006.0,28,I,5.0
48219,BERLINE,SK08168,GO,M,1012011,7112011.0,31,M,6.0
48220,BERLINE,ME49328,GO,M,3012015,3072015.0,33,M,7.0
48221,BERLINE,BM69423,GO,A,1032015,1072016.0,34,O,8.0
48222,BERLINE,RE73045,ES,M,1042009,5012010.0,29,F,4.0
48223,BERLINE,PE31053,GO,A,1122004,18122006.0,36,Q,13.0
48224,MONOSPACE,KA17044,ES,M,21102016,29082018.0,31,K,7.0
48225,BERLINE,SK12121,GO,M,5102017,7062018.0,30,J,5.0
48226,BERLINE,BM18159,GO,M,8022003,1092004.0,34,M,8.0
48227,BERLINE,PE47002,GO,M,26032012,29062015.0,28,H,4.0
48228,BERLINE,VO33237,ES,M,10092010,19032015.0,35,P,10.0
48229,AUTRE,FO28225,ES,A,15092005,1062006.0,33,K,9.0
48230,BERLINE,AU19058,GO,M,1102000,1082002.0,33,M,7.0
48231,BERLINE,OP13093,GO,A,1990,1991.0,32,L,7.0
48232,MONOSPACE,RE81232,GO,A,4012011,1122011.0,33,N,9.0
48233,AUTRE,VW07014,GO,M,1998,1998.0,31,M,10.0
48234,BERLINE,RE74177,GO,M,10052012,3062013.0,32,M,6.0
48235,BERLINE,VO33370,GO,A,19032015,21062018.0,36,Q,12.0
48236,BERLINE,CI38104,GO,M,1999,1999.0,28,G,4.0
48237,BREAK,VW11235,ES,A,1995,1996.0,30,J,10.0
48238,AUTRE,AU18393,ES,M,18102001,1012004.0,35,P,11.0
48239,BERLINE,FO08432,GO,M,30092000,16072001.0,29,G,5.0
48240,BERLINE,VW45191,GO,M,1042013,6032014.0,29,H,4.0
48241,BERLINE,PE24044,ES,M,1995,1996.0,29,H,6.0
48242,BERLINE,BM70418,GO,A,1032014,1062016.0,39,S,15.0
48243,BERLINE,AR03026,ES,M,1992,1992.0,32,J,9.0
48244,MONOSPACE,DC04056,ES,M,1072015,6102015.0,31,F,6.0
48245,BERLINE,AU39291,ES,M,28042016,,29,I,4.0
48246,BERLINE,SK07024,ES,M,1022002,1022002.0,28,D,5.0
48247,BERLINE,FO21300,ES,M,4032002,31052007.0,37,O,
48248,BERLINE,AU47002,ES,S,12112015,,33,N,8.0
48249,BERLINE,SB06090,E8,M,1072008,29052009.0,35,O,11.0
48250,BERLINE,ME49458,GO,M,9012017,1062018.0,30,N,4.0
48251,CABRIOLET,AU18809,ES,M,2012006,23042009.0,38,S,18.0
48252,BERLINE,VW49539,ES,M,29092016,17012017.0,34,L,7.0
48253,BERLINE,VW45306,ES,M,1112014,1102017.0,36,L,11.0
48254,AUTRE,RE18091,GO,M,1062001,3092001.0,32,N,9.0
48255,BERLINE,RE07817,GO,M,1042009,4012011.0,30,F,5.0
48256,AUTRE,RE84505,GO,M,8102013,1072014.0,32,P,8.0
48257,BERLINE,ME39489,GO,A,1062005,6012009.0,38,R,14.0
48258,BERLINE,RE71241,ES,M,1042009,2062009.0,30,I,6.0
48259,BERLINE,RE40016,ES,A,1982,1988.0,27,G,6.0
48260,BERLINE,BM23106,GO,A,27032007,1092007.0,35,P,10.0
48261,BERLINE,VO22074,ES,A,1996,1996.0,32,N,11.0
48262,BERLINE,MZ31057,GO,A,7112013,,33,N,8.0
48263,BERLINE,PE32323,ES,M,28022005,4042005.0,31,J,7.0
48264,BERLINE,OP06535,ES,M,20072005,20072005.0,27,F,4.0
48265,BERLINE,SE16102,ES,M,4112016,,27,E,3.0
48266,BERLINE,NA12052,ES,M,1994,1994.0,30,G,6.0
48267,BERLINE,RE73066,ES,M,9032010,28092010.0,32,I,8.0
48268,BERLINE,BM25032,ES,A,1993,1993.0,36,Q,13.0
48269,BERLINE,BM27131,GO,M,26092005,1092006.0,37,R,15.0
48270,MONOSPACE,SE14033,GO,M,1052008,1022009.0,32,K,6.0
48271,COUPE,BM18079,ES,M,1997,1997.0,35,O,11.0
48272,BERLINE,OP06748,GO,M,1122014,15062018.0,28,H,4.0
48273,MONOSPACE,VW34034,ES,M,24102003,23052004.0,31,J,7.0
48274,MONOSPACE,VW34057,ES,M,1032004,1122005.0,33,N,9.0
48275,AUTRE,BM23135,GO,M,1092007,1062010.0,36,Q,10.0
48276,CABRIOLET,BM58296,GO,M,30092008,1112013.0,33,O,8.0
48277,CABRIOLET,BM53035,ES,M,30032010,2072012.0,36,Q,13.0
48278,BERLINE,RE88099,ES,M,1072015,3072018.0,30,J,5.0
48279,BERLINE,JA15088,GO,M,1042016,15022017.0,36,Q,8.0
48280,BERLINE,OP17671,GO,M,25062012,16062014.0,31,K,5.0
48281,BERLINE,BM67101,ES,M,1102010,1092011.0,33,O,8.0
48282,BERLINE,CI42119,ES,M,13092004,27122005.0,32,K,7.0
48283,AUTRE,BM67298,GO,M,1102010,1092011.0,35,Q,10.0
48284,CABRIOLET,BM71205,ES,A,1072014,1032016.0,39,T,20.0
48285,BERLINE,RE53090,ES,M,1997,1998.0,32,L,9.0
48286,BERLINE,ME72062,GO,A,6102016,2052018.0,37,R,10.0
48287,BERLINE,RE53389,ES,M,3112000,2092002.0,31,H,6.0
48288,BERLINE,ME49165,ES,M,13092007,4042008.0,32,M,8.0
48289,BERLINE,FO21188,ES,A,1998,1998.0,32,M,10.0
48290,MONOSPACE,CI50018,ES,M,12022007,4072008.0,31,L,8.0
48291,BERLINE,FI26400,GP,M,3062014,1102015.0,29,H,4.0
48292,BERLINE,HD07001,ES,M,1998,1998.0,26,B,5.0
48293,BERLINE,VW51093,ES,S,8022016,,34,N,8.0
48294,BERLINE,HD02009,ES,M,2000,26032001.0,33,K,9.0
